restaurant_id,restaurant_name,location,cuisines,estimated_cost_for_two,rating,votes,cuisine_tags,budget_category
rest_000301,Maravanthe,Indiranagar,"Seafood, Mangalorean",1000.0,4.4,686,Seafood|Mangalorean,medium
rest_000302,Foxtrot - House of Subculture,Koramangala 3Rd Block,"Cafe, American, Asian, North Indian",1000.0,4.4,366,Cafe|American|Asian|North Indian,medium
rest_000303,TBC- Sky Lounge,Marathahalli,"Continental, Asian, Italian, North Indian",1000.0,4.4,619,Continental|Asian|Italian|North Indian,medium
rest_000304,Lazy Suzy,Indiranagar,"Cafe, Continental, Beverages, Burger, Desserts, Pizza, Bakery, European",1000.0,4.4,1262,Cafe|Continental|Beverages|Burger|Desserts|Pizza|Bakery|European,medium
rest_000305,Nasi And Mee,Whitefield,"Malaysian, Thai, Singaporean, Asian, Chinese, Momos",1000.0,4.4,907,Malaysian|Thai|Singaporean|Asian|Chinese|Momos,medium
rest_000306,Dhaba Estd 1986 Delhi,Marathahalli,North Indian,1100.0,4.4,1209,North Indian,medium
rest_000307,"3B's - Buddies, Bar & Barbecues",Btm,"North Indian, Mediterranean, European, Bbq",1100.0,4.4,1149,North Indian|Mediterranean|European|Bbq,medium
rest_000308,China Pearl,Koramangala 6Th Block,Chinese,1100.0,4.4,1851,Chinese,medium
rest_000309,Millers 46,Vasanth Nagar,"American, Continental, Steak",1100.0,4.4,2266,American|Continental|Steak,medium
rest_000310,Dhaba - Estd 1986 Delhi,Indiranagar,North Indian,1100.0,4.4,1414,North Indian,medium
rest_000311,Phobidden Fruit,Indiranagar,"Vietnamese, Salad",1100.0,4.4,2921,Vietnamese|Salad,medium
rest_000312,Chavadi,Bannerghatta Road,"Continental, North Indian, Pizza, Italian",1200.0,4.4,2233,Continental|North Indian|Pizza|Italian,medium
rest_000313,Foxtrot,Marathahalli,"North Indian, Chinese, Continental, Momos",1200.0,4.4,1146,North Indian|Chinese|Continental|Momos,medium
rest_000314,Fava,Lavelle Road,"Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",1200.0,4.4,2039,Healthy Food|Mediterranean|Desserts|Italian|Pizza|Salad|Kebab,medium
rest_000315,Sotally Tober,Residency Road,"Asian, Burger, Chinese, Finger Food",1200.0,4.4,282,Asian|Burger|Chinese|Finger Food,medium
rest_000316,Gilly's Restobar,Brookefield,"Continental, Finger Food, North Indian, Chinese",1200.0,4.4,1700,Continental|Finger Food|North Indian|Chinese,medium
rest_000317,Fire Station,Electronic City,"Continental, Mexican, Burger, Desserts, Italian, Pizza, North Indian, Chinese",1200.0,4.4,808,Continental|Mexican|Burger|Desserts|Italian|Pizza|North Indian|Chinese,medium
rest_000318,The Marina,Indiranagar,"Seafood, Continental, North Indian, South Indian",1200.0,4.4,542,Seafood|Continental|North Indian|South Indian,medium
